invoice_file,date,customer_id,product_name,quantity,total_revenue
invoice_001.jpg,2022-01-15,C0050,HP Pavilion 15,1,98000.0
invoice_002.jpg,2022-02-20,C0123,iPhone 13 Pro,2,280000.0
invoice_003.jpg,2022-03-10,C0456,Samsung Galaxy S22,1,135000.0
invoice_004.jpg,2022-05-18,C0789,Sony WH-1000XM4,3,105000.0
invoice_005.jpg,2022-07-22,C0234,MacBook Pro 14,1,450000.0
invoice_006.jpg,2022-09-05,C0567,LG OLED55C1,1,195000.0
invoice_007.jpg,2022-10-30,C0890,Dell XPS 13,1,240000.0
invoice_008.jpg,2022-11-12,C0345,AirPods Pro,2,64000.0
invoice_009.jpg,2022-12-05,C0678,iPad Air 5th Gen,1,125000.0
invoice_010.jpg,2022-04-14,C0901,Logitech MX Master 3,4,48000.0
